Country Name,2012,2013,2014,2015,2016,2017,2018
United States,313874218,316057727,318386421,320742673,323071342,325147121,327167434
Uzbekistan,29774500,30243200,30757700,31298900,31847900,32388600,32955400
St. Vincent and the Grenadines,108435,108622,108861,109148,109459,109827,110210
"Venezuela, RB",29362449,29783571,30045134,30081829,29846179,29390409,28870195
British Virgin Islands,28650,28847,28989,29152,29355,29577,29802
Virgin Islands (U.S.),108191,108044,107884,107710,107510,107268,106977
Vietnam,89802487,90753472,91714595,92677076,93638724,94596642,95540395
Vanuatu,249499,256635,263888,271130,278330,285510,292680
World,7086993625,7170961674,7255653881,7340548192,7426103221,7510990456,7594270356
Samoa,189088,190717,192221,193513,194535,195352,196130
Kosovo,1805200,1824100,1821800,1801800,1816200,1830700,1845300
"Yemen, Rep.",24473178,25147109,25823485,26497889,27168210,27834821,28498687
South Africa,52834005,53689236,54545991,55386367,56203654,57000451,57779622
Zambia,14465121,14926504,15399753,15879361,16363507,16853688,17351822
Zimbabwe,13115131,13350356,13586681,13814629,14030390,14236745,14439018
